Text,Target
complete conversion of as to dha was assumed.,0
"in these regions, placental malaria infection, characterized by p. falciparum sequestration in placental t",0
"placental malaria, particularly when paired with P_G anaemia, can compromise foetal nutrition, resulting *",0
this is an open access article distributed under the terms of the creative commons attribution license (ht,0
the world health organization (who) recommends artemisinin-based combination therapy (act) as a firstline,0
"additionally, the S_T_U_D_Y of artemisinin derivatives in novel intermittent preventative treatment regime",0
"methods study design the clinical aspects of this single center, open label study (clinicaltrials.gov: nct",0
plasmodium falciparum parasite density was assessed though giemsa staining of thick and thin blood films; s,0
the study protocol was approved by the ethical committees of the university of north carolina at chapel hi,0
only women able to understand the study protocol and who gave informed consent were S_T_U_D_Y in the study.,0
ltd) at the beginning of an inpatient stay at the clinic.,0
"blood samples (5 ml) for pharmacokinetic analysis were drawn at pre-dose and at 0.25, 0.5, 0.75, 1, 1.5, 2",0
"blood sampling schedule and sample handling were uniformly applied for P_G, P_G, and control S_T_U_D_Y.",0
blood samples were S_T_U_D_Y in pre-chilled tubes containing potassium oxalate/sodium fluoride.,0
"immediately following centrifugation, plasma was removed from the cells and transferred into cryovials.",0
the plasma samples were transferred to liquid nitrogen until they could be frozen at or below -80Ã”Ã¸Î©c in a l,0
"malaria journal 2011, 10:114 http://www.malariajournal.com/content/10/1/114 page 2 of 11 sample analysis d",0
"pdx-pop 4.0 (icon development solutions, ellicott city, md) and xpose version 4.1.0 (uppsala university, u",0
"model selection was guided by the following criteria: plausibility and precision of parameter estimates, m",0
"modelling was initially conducted with an aggregate data set of P_G, P_G, and control observations.",0
as this difficulty appeared to stem from the erratic and unpredictable as and dha observations from the P_,0
"since an adequate structural model could only be identified for the P_G/control data set, the base model d",0
simultaneous models were implemented using advan 5.,0
covariate screening was also conducted using generalized additive modelling in xpose software.,0
categorical covariates were modelled using a proportional function: p = ?1 Ã”Ã¸Î© (1 + ?2 Ã”Ã¸Î© cov) where ?1 repres,0
"model stability was assessed by condition number, with a condition number less than 1000 considered indica",0
the predictive ability of the model was evaluated by simulating 1000 virtual observations for each sampling,0
all previously P_G S_T_U_D_Y were lactating at the time of P_G evaluation.,0
"only two P_G S_T_U_D_Y were slide positive for parasitaemia, including one subject with a mixed infection.",0
attempts to model only dha observations using various P_K processes were similarly unsuccessful.,0
minimization was successful in 99.9% of bootstrap runs.,0
the solid line represents the typical profile for non-P_G women.,0
dotted lines are smoothing lines.,0
morris et al.,0
the effects of lactation on P_G P_K have not been extensively studied.,0
"however, some studies have been performed evaluating the effects of lactation on ethanol P_K.",0
suckling appears to trigger the release of various hormones responsible for regulation of digestion; these,0
solid lines are lines of identity.,0
morris et al.,0
"additionally, blood flow changes may not be consistent across trimesters [29].",0
the solid line represents the median of the simulated P_K.,0
morris et al.,0
"therefore, the results from this study can be generalized to populations for which intermittent preventati",0
"we thank the staff of maternitÃ”Ã¸Î© des soeurs de saint marc de kingasani, the community health workers of the",0
"authorsÃ”Ã¸Î© contributions jhf, mk, ec, rwr, rsm, srm, md, mo, and ja made substantial contributions to the co",0
the present study describes the development and validation of a stereoselective method for sequential anal,0
e-mail: lanchote@fcfrp.usp.br S_T_U_D_Y for publication 23 may 2012; accepted 25 june 2012 doi: 10.1002/ch,0
chirality 25:1Ã”Ã¸Î©7 (2013) coupled to a chiral column (cellobiohydrolase).,0
"louis, mo, usa) and of the metabolite ohm (trc, north york, canada) were prepared at the concentration of",0
"dichloromethane and propranolol were obtained from mallinckrodt baker (phillipsburg, nj, usa), and di-isop",0
the water used for reagent preparation throughout the experiments was puri?ed with the milli q plus system,0
the capillary voltage of electrospray interface was 3 kv.,0
