Cleantext,Target
analytical and pharmacokinetic methods the concentration of atazanavir in plasma were measured usingavalidatedhighperformanceliquidchromatography method ,0
the solid gray lines are the lines of identity while the dashed black lines are the linear regression lines of best t,0
recent studies with theophylline and caffeine in newborn infants have revealed extremely slow metabolism of these drugs,1
samples were shipped in a polystyrene cooler with dry ice by express courier to anapharm laboratories montreal quebec canada,0
mean gestational age was   weeks and the mean body weight was   kg,0
these findings mirror those reported with other drugs during pregnancy   and in men and nonpregnant women ,0
reprints associate professor bruce charles school of pharmacy steele building the university of queensland  australia,0
the activity of cypa and cypc decrease to   at the end of pregnancy compared to the first trimester which possibly may lead to increased plasma concentrations at the end of pregnancy ,0
mailing address school of medicine and pharmacology fremantle hospital po,0
the experimental results show a significantly shorter nla t  h for patients in the third trimester of pregnancy compared with when at least three months postpartum h,1
several studies have shown that the plasma levels of older generation aeds such as phenobarbital carbamazepine and phenytoin decrease considerably during pregnancy even though in the case of phenytoin the reduction in unbound drug concentration is not as marked as the decrease in total plasma concentrations total valproic acid concentrations also fall markedly during pregnancy but unbound valproic concentrations show little or no change the inuence of pregnancy on the pharmacokinetics of newer generation aeds has been investigated only sparsely available data suggest that the steadystate plasma concentrations of lamotrigine ltg oxcarbazepine monohydroxycarbazepine and levetiracetam also decrease to an important extent during pregnancy,1
kofahl d,0
at  h three of the infants with concentrations in the range of quantification had a mean of  range  lower tpm levels than those in the umbilical cord,1
the nature of the kinetic changes of most aeds during pregnancy is still controversial probably mainly because most previous studies comprised small and selected patient groups and generally did not take protein binding into account,0
similar data for full term infants are not available,0
final estimates of the terminal elimination rate constant ke were determined from an iterative nonlinear least squares regression algorithm,0
the median peak plasma concentration of metoprolol increased from  nmol during monotherapy to  nmol  t p   when in combination with hydralazine,1
kinetic analysis ofplasma theophylline concentrations circles and renal excretion rate triangles in patient  during the third trimester of pregnancy,1
acyclovir was concentrated in the amniotic fluid however there was no evidence of preferential fetal drug accumulation mean maternalumbilical vein plasma ratios at delivery were  for valacyclovir and  for acyclovir,1
two days later at cesarean section a viable infant was delivered,0
reversephase separation was achieved with a synergi polarrp a    mm  m column phenomenex torrence ca usa within  min under gradient conditions,0
a daily maternal fluoxetine dosage of  mg or higher was significantly more likely to produce detectable infant serum concentrations of medication fluoxetine or norfluoxetine than a dosage of  mg or less    df   p  ,1
we confirmed previous work demonstrating a biphasic elimination process for pcn,0
the target atazanavir auc during pregnancy was at least  mcghrml the estimated th percentile auc based on available data from nonpregnant adults among the women not receiving tenofovir the auc target was met by the one subject studied in the second trimester but was not met by  of   in the third trimester and  of   at  weeks postpartum,1
lopinavir exposure the target lopinavir auc during pregnancy was at least  mg hml the estimated th percentile auc based on available data from nonpregnant adults,1
we have therefore combined techniques of complete oxytocinase inhibition   with a solidphase radioimmunoassay   to measure the mcr of ot at two plasma hormone concentrations at term during induction of labor and in the same women  wk postpartum,0
v,0
during the study period the haemodynamic parameters of the hypertensive parturients were monitored by recording systolic and diastolic arterial pressure and heart rate with the results showing haemodynamic stability,0
oxazepam was not detected in amniotic fluid,1
thereafter spinal block characteristics were assessed at  min intervals until complete recovery of motor function and sensation at the l dermatome were determined,0
b    fig ,0
similarly to cft after the intramuscular administration of ampicillin pka   fetal drug levels were initially found to be lower and then exceeded the corresponding maternal ones with drug levels decreasing at a slower rate in the fetal blood than the maternal one ,1
however we were able to compare these data with data from historical controls ,0
no one thus far has looked at the extent of paroxetine utilization in terms of dosage,0
the auc and the peak maternal serum concentrations for oxazepam were  pgha and  pgl versus  pgha and  pgl for diazepam,1
as this difficulty appeared to stem from the erratic and unpredictable as and dha observations from the postpartum subjects the data were subsequently divided into pregnancycontrol and postpartum data sets for structural model identification,0
thestudywasconductedinaccordancewiththeguidelinesforgoodclinicalpracticeintheconductofclinicaltrialsinhumanparticipantsinsouth africaandgoodclinicalpracticeguidelineeinternationalconference on harmonisation ichwho good clinical practice standards for the conducts of clinical trials in drug research,0
milk samples from subject  were higher in lipid content than those from the first mother necessitating back extraction into dilute acid before immunoanalysis,0
the unchanged dilevalol plasma concentrations were  to  those of total drug suggesting that the drug is extensively conjugated,0
inclusion criteria included women at least  years of age ability to give written informed consent and receiving nifedipine as prescribed by the provider for preterm labor tocolysis,1
next these snps were processed for quality control with three tests i a hardyweinberg equilibrium test with a p level of  ii a frequency test minor allele frequency maf  and iii a percentage of nonmissing genotypes that was ,0
breast milk collection and analysis were consistent with the protocol in our previous studies for sertraline stowe et al  and paroxetine stowe et al ,0
shen connie l,0
metabolic clearance rates were calculated as described by thornton et alstatistical analysis included the paired t test and logistic and linear regression,0
at a later stage she was further increased to  iukg due to a change in her risk profile as a result of hospitalisation for unstable lie,1
aucinf area under capillary blood concentrationtime curve extrapolated to infinity cday  blood concentration on day  clf total clearance cmax maximum capillary blood concentration gmr geometric mean ratio of pharmacokinetic values between pregnancy and postpartum period na not applicable nd not determined t elimination halflife vdf apparent volume of distribution aexcludes one patient in whom all capillary blood concentrations were below the limit of quantification bsample size of  representative only for day  concentrations,1
nevertheless oct affects metformin distribution and has been             early pregnancy n midpregnancy n late pregnancy n postpartum n time h metforminconcentrationngml fig ,1
nifedipine was well tolerated by subjects no one complained of adverse symptoms from the drug,0
the relationship between a continuous covariate and a pk parameter was modeled as linear exponential or power functions after centering or normalization of the covariate using the corresponding mean value in the population studied,0
maximum heart rates and atenolol concentrations during exercise zero hour  hoursb third trimester postpartum third trimester postpartum heart rate beatdmin  f   f     f  atenolol plasma concentration     i   f   f mmovl ngml  f         f  timeof minimum concentration btimeof maximum concentration p comparing the third trimester and postpartumperiods significant changes between the third trimester and postpartum in pharmacokinetic values and in resting and exercised heart rates,1
even producing lower lpv exposure during pregnancy lpv standard dose was sufcient to provide lpv auc similar to  h  gml the th percentile auc of lpv in nonpregnant adults ,1
the authors acknowledge the generous grant from arrow pharmaceuticals to fund development of the assay and this work,0
results the median pharmacokinetic parameters of cg were peak plasma concentration cmax  ng ml  time to reach cmax tmax  h area under the plasma concentration vs time curve from  h auc  ngh ml  halflife t  h volume of distribution divided by bioavailability vdf  l and cltf  l h ,1
these data show that the s enantiomer of citalopram has a higher oral clearance that that of the corresponding r enantiomer and suggest that there is a similar higher clearance for the sdesmethylescitalopram compared with that for its renantiomer,0
authormanuscriptauthormanuscriptauthormanuscriptauthormanuscript estimated by plasma auc ssmetoprololauc sshydroxymetoprolol corrected for the difference in molecular weight between parent drug and metabolite,0
taddio et al  sampled breastmilk between  and  hours after oral dosage and found no systematic variations in breastmilk concentration over this time period,0
in contrast the clearance of carbamazepine and its epoxide metabolite did not increase significantly during pregnancy table vii,1
study protocol and data collection the study was approved by the ethics committee of the womens and childrens health service subiaco australia,0
in total  hospitals are involved in the network data in this publication were collected from  hospitals between november  and january ,0
for this purpose the levels of lamotrigine in amniotic fluid as well as cord blood were divided by their counterpart levels in the maternal serum reflecting the penetration ratio into amniotic fluid and cord blood respectively,1
analysis was performed using an hplc system consisting of a gynkotek hplc pump model  separations analytical instruments hendrik ido ambacht the netherlands a gynkotek uvd s detector separations analytical instruments hendrik ido ambacht the netherlands,0
as shown by the regression line in the figure there appears to be a gradual decline in the dosecorrected tpm serum concentrations throughout pregnancy,1
oral clearance of labetalol as an isomeric mixture has been reported to range from  to  lhkg in hypertensive patients during the third trimester of pregnancy  ,1
materials and methods data sources we used three administrative databases of the province of quebec la regie de lassurance maladie du quebec ramq medecho and le fichier des evenements demographiques du quebec birth and death registries of linstitut de la statistique du quebec isq,0
pregnancy inuenced ceftriaxone and gentamicin pharmacokinetics but not those of cefazolin,1
in total red man syndrome was experienced in four of the five subjects in the  minute infusion group and in three of the eight subjects in the minute infusion group p fisher exact test,0
the objective of our study was to determine the optimal dose and dosing interval of pcn g for intrapartum prophylaxis of gbs,0
the infant plasma uoxetine and noruoxetine concentrations samples taken from umbilical vein n   were  and  of those found in mothers at the time of delivery respectively table ii fig ,1
these results demonstrate that metformin clearance obtained during pregnancy increases as a function of increased renal plasma flow and probably by pregnancyinduced enhanced renal oct expression andor function ,1
the pregnant women from the primeva anrs  study were allocated  to receive openlabel treatment from  gw  gw with either lvpr at  mg twice daily bid alone or combined with zdvtc during pregnancy except for one pregnant woman who received an lpv dose of  mg bid,1
the transfer of the drug through placenta has been observed and drug concentrations in the umbilical cord plasma and amniotic fluid were found to exceed mics against main pathogenic organisms   ,1
mean plasma and milk concentrationtime proles for v and odv for all six patients are shown in figure ,1
ltg was monitored after positive apci ionization at mz  target ion and  qualier ion ltggluc at mz  target ion and  qualier ion and the internal standard minoxidil at mz  target ion and  qualier ion,0
pharmacokinetics of a controlledrelease misoprostol vaginal insert at term,0
once written informed consent was obtained and the subject was enrolled in the study the subjects gp and pharmacist were informed that hisher patient participated in this trial and that clomipramine was dispensed by the hospital pharmacy,0
received for publication jan   accepted feb  ,0
an lkb model  gas chromatographmass spectrometer with an lkb   po,0
the run time was  min the injection volume was  ml and the ow was set at  mlmin,0
if pht dosage is increased during pregnancy to raise plasma levels somewhat above their prepregnancy values in the expectation that the levels will later decline again the apparent clearance of pht after the dosage increase will at first fall despite the fact that increased elimination is probably occuring,1
gm and gm from the national institute of general medical sciences and by grant no,0
discontinuation of antidepressants during pregnancy raises the likelihood of a depressive relapse cohen et al  particularly for women with recurrent unipolar depression,0
total protein was measured by the method of lowry et al ,0
the cyclosporine levels for patient  were elevated in the rst and second trimester of pregnancy compared with the prepregnancy and postpartum values but lower in the third trimester,1
conclusions there was no inuence of tdm on the pharmacokinetics or placental transfer of nifedipine in hypertensive women with controlled diabetes,1
the median ga at delivery   auchmgl  a auc  mg drvr bd  rd trim ester postpartum     concentrationdrvmgl concentrationdrvmgl  c dctrough  mg drvr bd ctrough  mg drvr qd  rd trim ester postpartum       rd trim ester postpartum   auchmgl  b auc  mg drvr qd  rd trim ester postpartum figure ,1
therefore pregnancy may be associated with increased drug dilution,1
in one of the previous studies zieman et al  the systemic bioavailability of vaginally administered pharmacokinetics of misoprostol misoprostol auc was three times higher than that of orally administered misoprostol,1
morning and evening parameter to patient body weight,0
blood and breast milk samples were collected at  and  h intervals respectively for  h,0
for drug assays sdox pyr and sulfamethazine were obtained from sigmaaldrich australia castle hill australia and midazolam hydrochloride was obtained from pzer australia west ryde australia,0
the ucsd laboratory has participated in actg qaqc prociency testing  since  and tests qi samples twice a year,0
author manuscript available in pmc  august ,0
the twotailed mannwhitney test for unpaired data was used to compare the pharmacokinetic parameters between the control and diabetic groups,0
a maximum theobromine concentration in the plasma of  to  mg was attained between  and  hours while milk yielded maximum concentrations of  to  rag at  to  hours respectively after administration,1
venlafaxine is a substrate of pgp,0
patients n   were administered  mg nifedipine capsules adalat capsules bayer ag orally every  minutes up to  mg in the rst hour and were subsequently given  tablet of  mg nifedipine slow release adalat retard bayer ag t   min,1
however a better bioavailability does not necessarily mean a better clinical effect in medical abortion because other factors may affect the efcacy of the drug,0
email lanchotefcfrpuspbr received for publication  may  accepted  june  doi chir published online  october  in wiley online library wileyonlinelibrarycom   wiley periodicals inc,0
the present study of the pharmacokinetics and placental transfer of nifedipine in pregnant women is important because only  of the clinical pharmacokinetic studies indexed in pubmed reported data for pregnant women according to a review by mccormack and best ,1
mean maternal age was    years and the mean gestational age ega at entry was   weeks,1
statistical analysis,0
all rights reserved,0
women continued on the study until the completion of postpartum pk sampling,0
however the total exposure to carboxymeoquine was  lower during pregnancy  versus  hngml p and the total drug exposure to artesunate was  higher during pregnancy  versus  hngml p compared with nonpregnant controls,1
the halflife for misoprostol elimination was approximately onehalf hour using the   and pug doses,1
the allocations were put in opaque sealed envelopes,0
enoxaparin distribution,0
approximately  of antenatal clinic attendees have peripheral blood p falciparum parasitemia with similar rates among nonpregnant women in the community ,0
disposition of misoprostol and its active metabolite in patients with normal and impaired renal function,0
hydroxybupropion erythrohydrobupropion and threohydrobupropion were purchased from toronto research chemicals inc toronto canada,0
plasma clearance and unbound cbz clearance were slightly decreased during the last trimester,1
further knowledge concerning the influence of pregnancy and of enzyme inducers on propranolol metabolism in man will be obtained by measuring in the individual patient several times not only propranolol elimination but all its metabolic pathways,1
serum and breast milk concentrations of fluoxetine and norfluoxetine in  pairs of mothers and nursing infants pair maternal medication dose mgday gestational age gestational exposure infants age at time treatment was started infants age at serum sampling percent breastfeeding vs formula infants weight kg maternal serum fluoxetine ngml maternal serum norfluoxetine ngml    wks   days          at birth         entire pregnancy prenatal         wks   prenatal         wk delivery prenatal         entire pregnancy prenatal         entire pregnancy prenatal         wks delivery prenatal         entire pregnancy prenatal         entire pregnancy prenatal         wks  delivery prenatal         entire pregnancy prenatal         entire pregnancy prenatal         wks delivery prenatal         wks delivery prenatal      a   entire pregnancy prenatal      a   entire pregnancy prenatal         wks   prenatal         wks delivery prenatal         wks delivery prenatal    b b a twins b not obtained  v,1
the dried residue was reconstituted and derivatized using dansyl chloride to enhance electrospray ionization following the procedure described previously kushnir et al ,0
low concentrations of the pharmacological active metabolite ndesmethyldiazepam was detected in maternal serum from  h,1
after addition of smethyl prostaglandin e methylpge as internal standard mpa was extracted from plasma samples using a monolithic reversed phase cartridge,0
pharmacokinetic parameters of tobramycin in each group normalt group  group  values term  weeks term   weeks auc  m g w    cl mlminkg   k i r  h     mrt h  k  vlkg  i   tpopulation reference values in patients who had normal renal function poo pool,1
for more information about jstor please contact supportjstororg,0
serial samples were taken from the cannula contralateral to the one through which the drug was administered at           and  min after the injection,0
superior st suite  chicago il  dr,0
the entire sequence was carried out in a thermostated room at c,0
in neonates up to  g of cefazolin given to the mother within an hour of surgery is effective and produces exposure within clinically approved limits,1
at the end of  h the serum levels of mpa in both of the vaginal groups were higher than those of the sublingual and oral routes,1
two to  weeks after delivery two of the breastfed infants had detectable  m concentrations of tpm although below the limit of quantification  m and one had an undetectable concentration,1
if the activity of intestinal ppg in pregnancy were to follow that in the kidneys a decrease rather than an increase in absorption is expected,1
the expected values for these body fluid spaces are shown in table ii and were taken from published studies by lund and donovan plasma volume peterson ecf and tbw in nonpregnant women and plentl and gray ecf and tbw in pregnant women,0
aliquots of milk were analysed by the method of addition so as to avoid dierential variation in years and their mean body weight was  kg range  kg,0
the rapid elimination of as found in this analysis is consistent with findings of pharmacokinetic analyses with iv as with an as halflife estimate of  minutes obtained by newton et al  and estimates of less than ten minutes found by binh et al  and batty et al ,1
however if the parameters were expressed in terms of plasma water phenytoin concentration the difference became statistically significant pregnant    mg l postnatally    mg ll f   df   p  ,0
from the centerfor reproductive biology sciences and the department of obstetrics and gynecology the university of texas health science center at dallas southwestern medical school,0
it can also be argued that the dependability of the study findings is weakened by the inclusion of case data from earlier reports that in some instances were incomplete,0
figure depicts the sp timeconcentration curves during pregnancy and after the postpartum period for women in mali and zambia,1
while the incidence of postcesarean wound infection in allcomers is  surgical prophylaxis decreases this complication and subsequent maternal morbidity by  we have demonstrated that in obese women both a g and g dose of cefazolin achieve sufficient adipose tissue concentrations to provide prophylaxis against grampositive and gramnegative bacteria,1
kristensen and colleagues  noted crying irritability and poor feeding in two of the  nursing infants kristensen et al  and found detectable concentrations of fluoxetine and norfluoxetine concentrations in  and  nursing infants respectively at ranges of  ngml and  ngml,1
frec alfentanil easily crossed the placental barrier,0
the highest bioavailability of sublingual misoprostol as shown by the auc indicates that it is probably the most potent route of administration of misoprostol if its effect on the uterus is proportional to its serum level,1
amherst n,0
the high antibiotic concentrations in the umbilical cord plasma of infants in our study show that the foetus is exposed to these and therefore these can lead to unwanted sideeffects in the newborns,0
